,POINTS,FG PCT,3PT PCT,,REBOUND PCT,TURNOVERS,,,,,,,,
RK,TEAM,OWN,OPP,DIFF,OWN,OPP,OWN,OPP,FT%,OFF,DEF,TOT,OWN,OPP
1,Golden State,113.5,107.5,6,0.503,0.447,0.391,0.357,0.815,0.21,0.763,0.506,15,13.5
2,Houston,112.4,103.9,8.5,0.46,0.462,0.362,0.351,0.781,0.213,0.799,0.508,13.2,14
3,New Orleans,111.7,110.4,1.3,0.483,0.454,0.362,0.355,0.772,0.2,0.767,0.494,14.4,13.8
4,Toronto,111.7,103.9,7.8,0.472,0.449,0.358,0.357,0.794,0.23,0.777,0.509,12.7,13.7
5,Cleveland,110.9,109.9,1,0.476,0.474,0.372,0.368,0.779,0.2,0.773,0.491,13.3,12.9
6,Denver,110,108.5,1.5,0.47,0.476,0.371,0.378,0.767,0.257,0.775,0.517,14.3,13.4
7,Philadelphia,109.8,105.3,4.5,0.472,0.434,0.369,0.342,0.752,0.253,0.786,0.529,15.9,13.7
8,Minnesota,109.5,107.3,2.2,0.476,0.475,0.357,0.366,0.804,0.244,0.764,0.501,11.7,14.5
9,LA Clippers,109,109,0,0.471,0.459,0.354,0.356,0.743,0.235,0.761,0.501,14.1,13.6
10,Charlotte,108.2,108,0.2,0.45,0.468,0.369,0.375,0.747,0.222,0.808,0.51,12.3,13.1
11,LA Lakers,108.1,109.6,-1.5,0.461,0.456,0.345,0.346,0.714,0.236,0.777,0.509,15.3,13.6
12,Oklahoma City,107.9,104.4,3.5,0.453,0.458,0.354,0.367,0.716,0.277,0.774,0.517,13.4,15.1
13,Washington,106.6,106,0.6,0.467,0.462,0.375,0.349,0.772,0.235,0.771,0.503,14,14.4
14,Brooklyn,106.6,110.3,-3.7,0.441,0.466,0.356,0.369,0.772,0.21,0.77,0.487,14.2,12
15,Milwaukee,106.5,106.8,-0.3,0.478,0.468,0.355,0.373,0.783,0.204,0.759,0.483,13.1,14.7
16,Portland,105.6,103,2.6,0.452,0.447,0.366,0.364,0.8,0.233,0.791,0.514,13,12.3
17,Indiana,105.6,104.2,1.4,0.472,0.465,0.369,0.349,0.779,0.227,0.762,0.496,12.8,14.8
18,New York,104.5,108,-3.5,0.464,0.457,0.352,0.368,0.787,0.241,0.767,0.505,14.2,12.8
19,Utah,104.1,99.8,4.3,0.462,0.449,0.366,0.365,0.779,0.215,0.798,0.51,14.1,14.5
20,Boston,104,100.4,3.6,0.45,0.44,0.377,0.339,0.771,0.215,0.784,0.503,13.3,13.5
21,Phoenix,103.9,113.3,-9.4,0.442,0.471,0.334,0.373,0.741,0.225,0.765,0.49,15,13
22,Detroit,103.8,103.9,-0.1,0.45,0.459,0.373,0.359,0.745,0.227,0.785,0.5,12.7,14.2
23,Miami,103.4,102.9,0.5,0.455,0.45,0.36,0.36,0.755,0.215,0.79,0.502,13.6,13.6
24,Orlando,103.4,108.2,-4.8,0.452,0.468,0.351,0.362,0.757,0.2,0.756,0.476,13.9,13.5
25,Atlanta,103.4,108.8,-5.4,0.446,0.469,0.36,0.377,0.785,0.211,0.762,0.487,15,14.6
26,Chicago,102.9,110,-7.1,0.435,0.472,0.355,0.37,0.759,0.206,0.806,0.494,13.3,13
27,San Antonio,102.7,99.8,2.9,0.457,0.453,0.352,0.348,0.772,0.237,0.786,0.51,12.7,13.6
28,Dallas,102.3,105.4,-3.1,0.444,0.469,0.36,0.363,0.763,0.18,0.789,0.474,11.8,13.3
29,Memphis,99.3,105.5,-6.2,0.444,0.462,0.352,0.368,0.786,0.224,0.765,0.488,14.4,14
30,Sacramento,98.8,105.8,-7,0.45,0.47,0.375,0.377,0.735,0.215,0.776,0.483,13.2,13.6
